============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-20-D-C-90.txt
  Value mode: flat
  Timelimit:  900s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 900.0s per instance, seed 1007430136
======================================================================

======================================================================
ep3-20-D-C-90: 20 boxes (5 types), 1 containers (1 types)
  0-1 knapsack bound: 38842.0 (continuous relaxation: 39200.0)
  initial (value-density) decode: value 27848.0 (14/20 boxes)
  T0 = 3629.2 (calibrated, 357 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 827.33 over 900s
    [iter 46] *** NEW BEST: value 28424.0, boxes 15/20, T=3628.5, elapsed=0.1s
    [iter 48] *** NEW BEST: value 30728.0, boxes 15/20, T=3628.5, elapsed=0.1s
    [iter 130] *** NEW BEST: value 33608.0, boxes 16/20, T=3628.5, elapsed=0.1s
    [iter 5883] reheat + diversify: ceiling=907.30, value=18500.0
    [iter 11636] reheat + diversify: ceiling=816.57, value=26918.0
    [iter 17389] reheat + diversify: ceiling=734.91, value=20804.0
    [iter 23142] reheat + diversify: ceiling=661.42, value=14246.0
    [iter 28895] reheat + diversify: ceiling=595.28, value=24614.0
    [iter 34648] reheat + diversify: ceiling=535.75, value=10436.0
    [iter 40401] reheat + diversify: ceiling=482.17, value=26918.0
    [iter 46154] reheat + diversify: ceiling=433.96, value=30728.0
    [iter 51907] reheat + diversify: ceiling=390.56, value=33608.0
    [iter 57660] reheat + diversify: ceiling=351.51, value=30728.0
    [iter 63413] reheat + diversify: ceiling=316.35, value=11012.0
    [iter 69166] reheat + diversify: ceiling=284.72, value=19430.0
    [iter 74919] reheat + diversify: ceiling=256.25, value=24614.0
    [iter 80672] reheat + diversify: ceiling=230.62, value=28424.0
    [iter 86425] reheat + diversify: ceiling=207.56, value=17126.0
    [iter 92178] reheat + diversify: ceiling=186.80, value=17126.0
    [iter 97931] reheat + diversify: ceiling=168.12, value=28424.0
    [iter 103684] reheat + diversify: ceiling=151.31, value=33608.0
    [iter 109437] reheat + diversify: ceiling=136.18, value=8132.0
    [iter 115190] reheat + diversify: ceiling=122.56, value=30728.0
    [iter 120943] reheat + diversify: ceiling=110.31, value=13316.0
    [iter 126696] reheat + diversify: ceiling=99.28, value=24614.0
    [iter 132449] reheat + diversify: ceiling=89.35, value=30728.0
    [iter 138202] reheat + diversify: ceiling=80.41, value=11942.0
    [iter 143955] reheat + diversify: ceiling=72.37, value=29798.0
    [iter 149708] reheat + diversify: ceiling=65.13, value=15620.0
    [iter 155461] reheat + diversify: ceiling=58.62, value=30728.0
    [iter 161214] reheat + diversify: ceiling=52.76, value=14246.0
    [iter 166967] reheat + diversify: ceiling=47.48, value=30728.0
    [iter 172720] reheat + diversify: ceiling=42.73, value=25544.0
    [iter 178473] reheat + diversify: ceiling=38.46, value=24614.0
    [iter 184226] reheat + diversify: ceiling=34.62, value=18500.0
    [iter 189979] reheat + diversify: ceiling=31.15, value=20804.0
    [iter 195732] reheat + diversify: ceiling=28.04, value=24614.0
