Instance: BR0-035
Solver: simulated annealing (sequence decoder)
Value model: v_i = c_i * volume_i (volume)
Boxes: 294 (1 types)
Containers: 1 (1 types)

Run started: 2026-09-13 13:22:54
Command: 3DMHKP-SA.py --instance-files /home/mcaspar/3DMHKP/BischoffRatcliff/BR0/BR0-035.txt --value-mode volume --time-limit 3600.0 --results-dir /home/mcaspar/3DMHKP/results_3DMHKP_BR0   [launched by: main_slurm.py --id 34 --num_cpu 1 --time-limit 3600]
Time limit: 3600.0 s per instance
Runtime: 3600.13 s (SA loop 3600.12 s, stopped on time limit)
Packed value (SA incumbent / lower bound): 25575000.0
0-1 knapsack bound (1D, valid under rotation): 30076200.0
Continuous-knapsack relaxation: 30076200.0
Gap to the 0-1 bound: 14.97%
Greedy (initial decode) value: 24347400.0
SA improvement over greedy: +1227600.0

SA parameters:
  time limit: 3600.0 s, max iterations: 500000000
  T0: 97445.08 (calibrated, 213 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 22214.16 over 3600s (alpha unused)
  reheat threshold: 5753 it, ceiling 24361.27 (25% of T0) decaying x0.9 per reheat
  ep limit: 0 (unlimited), value mode: volume
  move weights: swap=1, promote=1.5, demote=1.5, orient=1, container=0.5 (disabled: relocate, 2opt)
  seed: 2068951125

SA statistics:
  iterations: 16838 in 3600.12 s (5 it/s)
  stopped on: time limit
  accepted: 9441, rejected: 7396, no-move draws: 0, reheats: 1
  acceptance rate: 56.1%
  T at exit: 24361.3
  last improvement: iteration 6119 at 1332.2 s, 37% into the run
  verification: ok

Boxes packed: 250 / 294
Volume utilization: 25575000 / 30089620 = 85.0%

Container 0 (type 1, 587x220x233): 250 boxes, value 25575000.0, utilization 85.0%

Placements (box, type, container, position, oriented dims):
  box    0 type 1 -> container 0 pos (66, 0, 31) dims (33, 100, 31)
  box    1 type 1 -> container 0 pos (395, 133, 100) dims (33, 31, 100)
  box    2 type 1 -> container 0 pos (459, 33, 0) dims (100, 33, 31)
  box    3 type 1 -> container 0 pos (264, 163, 31) dims (31, 33, 100)
  box    5 type 1 -> container 0 pos (100, 31, 93) dims (31, 100, 33)
  box    6 type 1 -> container 0 pos (364, 0, 0) dims (100, 33, 31)
  box    7 type 1 -> container 0 pos (464, 0, 0) dims (100, 33, 31)
  box    9 type 1 -> container 0 pos (333, 100, 33) dims (31, 100, 33)
  box   11 type 1 -> container 0 pos (0, 188, 31) dims (33, 31, 100)
  box   12 type 1 -> container 0 pos (133, 132, 0) dims (31, 33, 100)
  box   13 type 1 -> container 0 pos (0, 0, 31) dims (33, 31, 100)
  box   14 type 1 -> container 0 pos (31, 0, 131) dims (33, 31, 100)
  box   15 type 1 -> container 0 pos (197, 164, 126) dims (33, 31, 100)
  box   16 type 1 -> container 0 pos (364, 33, 0) dims (31, 100, 33)
  box   17 type 1 -> container 0 pos (33, 99, 64) dims (31, 33, 100)
  box   18 type 1 -> container 0 pos (295, 97, 31) dims (33, 31, 100)
  box   19 type 1 -> container 0 pos (197, 0, 93) dims (31, 100, 33)
  box   20 type 1 -> container 0 pos (333, 0, 198) dims (31, 100, 33)
  box   21 type 1 -> container 0 pos (133, 66, 0) dims (100, 33, 31)
  box   22 type 1 -> container 0 pos (263, 31, 124) dims (33, 31, 100)
  box   23 type 1 -> container 0 pos (233, 66, 165) dims (100, 31, 33)
  box   24 type 1 -> container 0 pos (364, 0, 31) dims (31, 33, 100)
  box   25 type 1 -> container 0 pos (264, 130, 31) dims (31, 33, 100)
