============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-20-C-C-90.txt
  Value mode: flat
  Timelimit:  300s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 300.0s per instance, seed 1803604160
======================================================================

======================================================================
ep3-20-C-C-90: 20 boxes (5 types), 1 containers (1 types)
  continuous-knapsack bound: 156253.7
  initial (value-density) decode: value 59978.0 (13/20 boxes)
  T0 = 13764.2 (calibrated, 230 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 3137.78 over 300s
    [iter 5] *** NEW BEST: value 62826.0, boxes 13/20, T=13757.1, elapsed=0.1s
    [iter 12] *** NEW BEST: value 77276.0, boxes 14/20, T=13757.1, elapsed=0.1s
    [iter 15] *** NEW BEST: value 80124.0, boxes 14/20, T=13757.0, elapsed=0.1s
    [iter 5768] reheat + diversify: ceiling=3441.06, value=77276.0
    [iter 11521] reheat + diversify: ceiling=3096.95, value=52966.0
    [iter 17274] reheat + diversify: ceiling=2787.26, value=52966.0
    [iter 23027] reheat + diversify: ceiling=2508.53, value=77276.0
    [iter 28780] reheat + diversify: ceiling=2257.68, value=65450.0
    [iter 34533] reheat + diversify: ceiling=2031.91, value=55814.0
    [iter 40286] reheat + diversify: ceiling=1828.72, value=55814.0
    [iter 46039] reheat + diversify: ceiling=1645.85, value=68298.0
    [iter 51792] reheat + diversify: ceiling=1481.26, value=65450.0
    [iter 57545] reheat + diversify: ceiling=1333.14, value=58662.0
    [iter 63298] reheat + diversify: ceiling=1199.82, value=80124.0
    [iter 69051] reheat + diversify: ceiling=1079.84, value=74428.0
    [iter 74804] reheat + diversify: ceiling=971.86, value=65450.0
    [iter 80557] reheat + diversify: ceiling=874.67, value=77276.0
    [iter 86310] reheat + diversify: ceiling=787.20, value=62168.0
    [iter 92063] reheat + diversify: ceiling=708.48, value=58662.0
    [iter 97816] reheat + diversify: ceiling=637.64, value=55814.0
    [iter 103569] reheat + diversify: ceiling=573.87, value=77276.0
    [iter 109322] reheat + diversify: ceiling=516.48, value=74428.0
    [iter 115075] reheat + diversify: ceiling=464.84, value=71146.0
    [iter 120828] reheat + diversify: ceiling=418.35, value=59320.0
    [iter 126581] reheat + diversify: ceiling=376.52, value=77276.0
    [iter 132334] reheat + diversify: ceiling=338.87, value=55814.0
    [iter 138087] reheat + diversify: ceiling=304.98, value=58662.0
    [iter 143840] reheat + diversify: ceiling=274.48, value=58662.0
    [iter 149593] reheat + diversify: ceiling=247.03, value=61510.0
    [iter 155346] reheat + diversify: ceiling=222.33, value=58662.0
    [iter 161099] reheat + diversify: ceiling=200.10, value=80124.0
    [iter 166852] reheat + diversify: ceiling=180.09, value=59320.0
    [iter 172605] reheat + diversify: ceiling=162.08, value=74428.0
    [iter 178358] reheat + diversify: ceiling=145.87, value=80124.0
    [iter 184111] reheat + diversify: ceiling=131.28, value=80124.0
    [iter 189864] reheat + diversify: ceiling=118.16, value=58662.0
    [iter 195617] reheat + diversify: ceiling=106.34, value=58662.0
