============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-40-C-C-50.txt
  Value mode: flat
  Timelimit:  300s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 300.0s per instance, seed 207639876
======================================================================

======================================================================
ep3-40-C-C-50: 40 boxes (5 types), 1 containers (1 types)
  continuous-knapsack bound: 227029.5
  initial (value-density) decode: value 73100.0 (20/40 boxes)
  T0 = 11891.5 (calibrated, 113 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 2710.87 over 300s
    [iter 2] *** NEW BEST: value 127951.0, boxes 24/40, T=11878.8, elapsed=0.2s
    [iter 881] *** NEW BEST: value 141418.0, boxes 25/40, T=11872.1, elapsed=0.3s
    [iter 6634] reheat + diversify: ceiling=2972.88, value=126968.0
    [iter 12387] reheat + diversify: ceiling=2675.60, value=56781.0
    [iter 18140] reheat + diversify: ceiling=2408.04, value=90398.0
    [iter 23893] reheat + diversify: ceiling=2167.23, value=96199.0
    [iter 29646] reheat + diversify: ceiling=1950.51, value=50980.0
    [iter 35399] reheat + diversify: ceiling=1755.46, value=96199.0
    [iter 41152] reheat + diversify: ceiling=1579.91, value=102000.0
    [iter 46905] reheat + diversify: ceiling=1421.92, value=50980.0
    [iter 52658] reheat + diversify: ceiling=1279.73, value=75066.0
    [iter 58411] reheat + diversify: ceiling=1151.76, value=96199.0
    [iter 64164] reheat + diversify: ceiling=1036.58, value=102000.0
    [iter 69917] reheat + diversify: ceiling=932.92, value=82732.0
    [iter 75670] reheat + diversify: ceiling=839.63, value=82732.0
    [iter 81423] reheat + diversify: ceiling=755.67, value=50980.0
    [iter 87176] reheat + diversify: ceiling=680.10, value=82732.0
    [iter 92929] reheat + diversify: ceiling=612.09, value=102000.0
    [iter 98682] reheat + diversify: ceiling=550.88, value=82732.0
    [iter 104435] reheat + diversify: ceiling=495.79, value=96199.0
    [iter 110188] reheat + diversify: ceiling=446.21, value=45179.0
    [iter 115941] reheat + diversify: ceiling=401.59, value=82732.0
    [iter 121694] reheat + diversify: ceiling=361.43, value=96199.0
    [iter 127447] reheat + diversify: ceiling=325.29, value=50980.0
    [iter 133200] reheat + diversify: ceiling=292.76, value=50980.0
    [iter 138953] reheat + diversify: ceiling=263.48, value=50980.0
    [iter 144706] reheat + diversify: ceiling=237.14, value=56781.0
    [iter 150459] reheat + diversify: ceiling=213.42, value=56781.0
    [iter 156212] reheat + diversify: ceiling=192.08, value=96199.0
    [iter 161965] reheat + diversify: ceiling=172.87, value=90398.0
    [iter 167718] reheat + diversify: ceiling=155.59, value=62582.0
    [iter 173471] reheat + diversify: ceiling=140.03, value=96199.0
    [iter 179224] reheat + diversify: ceiling=126.02, value=96199.0
    [iter 184977] reheat + diversify: ceiling=113.42, value=90398.0
    [iter 190730] reheat + diversify: ceiling=102.08, value=96199.0
    [iter 196483] reheat + diversify: ceiling=91.87, value=96199.0
    [iter 202236] reheat + diversify: ceiling=82.68, value=45179.0
    [iter 207989] reheat + diversify: ceiling=74.42, value=96199.0
