============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-20-C-C-50.txt
  Value mode: flat
  Timelimit:  300s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 300.0s per instance, seed 1979040237
======================================================================

======================================================================
ep3-20-C-C-50: 20 boxes (5 types), 1 containers (1 types)
  continuous-knapsack bound: 126214.6
  initial (value-density) decode: value 56330.0 (10/20 boxes)
  T0 = 4169.3 (calibrated, 253 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 950.45 over 300s
    [iter 1] *** NEW BEST: value 65308.0, boxes 11/20, T=4169.3, elapsed=0.1s
    [iter 5754] reheat + diversify: ceiling=1042.32, value=65308.0
    [iter 11507] reheat + diversify: ceiling=938.09, value=65308.0
    [iter 17260] reheat + diversify: ceiling=844.28, value=65308.0
    [iter 23013] reheat + diversify: ceiling=759.85, value=51953.0
    [iter 28766] reheat + diversify: ceiling=683.87, value=52611.0
    [iter 34519] reheat + diversify: ceiling=615.48, value=65308.0
    [iter 40272] reheat + diversify: ceiling=553.93, value=48234.0
    [iter 46025] reheat + diversify: ceiling=498.54, value=51953.0
    [iter 51778] reheat + diversify: ceiling=448.68, value=47576.0
    [iter 57531] reheat + diversify: ceiling=403.82, value=51953.0
    [iter 63284] reheat + diversify: ceiling=363.43, value=48234.0
    [iter 69037] reheat + diversify: ceiling=327.09, value=51953.0
    [iter 74790] reheat + diversify: ceiling=294.38, value=51953.0
    [iter 80543] reheat + diversify: ceiling=264.94, value=52611.0
    [iter 86296] reheat + diversify: ceiling=238.45, value=51953.0
    [iter 92049] reheat + diversify: ceiling=214.60, value=51953.0
    [iter 97802] reheat + diversify: ceiling=193.14, value=51953.0
    [iter 103555] reheat + diversify: ceiling=173.83, value=65308.0
    [iter 109308] reheat + diversify: ceiling=156.45, value=51953.0
    [iter 115061] reheat + diversify: ceiling=140.80, value=65308.0
    [iter 120814] reheat + diversify: ceiling=126.72, value=52611.0
    [iter 126567] reheat + diversify: ceiling=114.05, value=51953.0
    [iter 132320] reheat + diversify: ceiling=102.64, value=65308.0
    [iter 138073] reheat + diversify: ceiling=92.38, value=51953.0
    [iter 143826] reheat + diversify: ceiling=83.14, value=48234.0
    [iter 149579] reheat + diversify: ceiling=74.83, value=51953.0
    [iter 155332] reheat + diversify: ceiling=67.35, value=52611.0
    [iter 161085] reheat + diversify: ceiling=60.61, value=65308.0
    [iter 166838] reheat + diversify: ceiling=54.55, value=51953.0
    [iter 172591] reheat + diversify: ceiling=49.09, value=51953.0
    [iter 178344] reheat + diversify: ceiling=44.19, value=65308.0
    [iter 184097] reheat + diversify: ceiling=39.77, value=65308.0
    [iter 189850] reheat + diversify: ceiling=35.79, value=65308.0
    [iter 195603] reheat + diversify: ceiling=32.21, value=65308.0
    [iter 201356] reheat + diversify: ceiling=28.99, value=65308.0
    [iter 207109] reheat + diversify: ceiling=26.09, value=65308.0
    [iter 212862] reheat + diversify: ceiling=23.48, value=65308.0
