============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-20-D-C-50.txt
  Value mode: flat
  Timelimit:  300s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 300.0s per instance, seed 752892971
======================================================================

======================================================================
ep3-20-D-C-50: 20 boxes (5 types), 1 containers (1 types)
  continuous-knapsack bound: 22478.6
  initial (value-density) decode: value 9736.0 (10/20 boxes)
  T0 = 991.6 (calibrated, 160 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 226.05 over 300s
    [iter 1] *** NEW BEST: value 11686.0, boxes 11/20, T=991.6, elapsed=0.1s
    [iter 67] *** NEW BEST: value 12040.0, boxes 11/20, T=991.1, elapsed=0.1s
    [iter 302] *** NEW BEST: value 12616.0, boxes 11/20, T=991.0, elapsed=0.1s
    [iter 381] *** NEW BEST: value 13192.0, boxes 11/20, T=991.0, elapsed=0.1s
    [iter 6134] reheat + diversify: ceiling=247.90, value=11110.0
    [iter 11887] reheat + diversify: ceiling=223.11, value=11110.0
    [iter 17640] reheat + diversify: ceiling=200.80, value=12040.0
    [iter 23393] reheat + diversify: ceiling=180.72, value=11464.0
    [iter 29146] reheat + diversify: ceiling=162.65, value=7654.0
    [iter 34899] reheat + diversify: ceiling=146.38, value=11110.0
    [iter 40652] reheat + diversify: ceiling=131.74, value=12040.0
    [iter 46405] reheat + diversify: ceiling=118.57, value=9160.0
    [iter 52158] reheat + diversify: ceiling=106.71, value=13192.0
    [iter 57911] reheat + diversify: ceiling=96.04, value=12040.0
    [iter 63664] reheat + diversify: ceiling=86.44, value=12616.0
    [iter 69417] reheat + diversify: ceiling=77.79, value=12040.0
    [iter 75170] reheat + diversify: ceiling=70.01, value=13192.0
    [iter 80923] reheat + diversify: ceiling=63.01, value=8230.0
    [iter 86676] reheat + diversify: ceiling=56.71, value=10534.0
    [iter 92429] reheat + diversify: ceiling=51.04, value=8230.0
    [iter 98182] reheat + diversify: ceiling=45.94, value=13192.0
    [iter 103935] reheat + diversify: ceiling=41.34, value=12040.0
    [iter 109688] reheat + diversify: ceiling=37.21, value=12616.0
    [iter 115441] reheat + diversify: ceiling=33.49, value=11686.0
    [iter 121194] reheat + diversify: ceiling=30.14, value=11686.0
    [iter 126947] reheat + diversify: ceiling=27.12, value=12616.0
    [iter 132700] reheat + diversify: ceiling=24.41, value=12040.0
    [iter 138453] reheat + diversify: ceiling=21.97, value=13192.0
    [iter 144206] reheat + diversify: ceiling=19.77, value=8230.0
    [iter 149959] reheat + diversify: ceiling=17.80, value=11110.0
    [iter 155712] reheat + diversify: ceiling=16.02, value=11686.0
    [iter 161465] reheat + diversify: ceiling=14.42, value=8230.0
    [iter 167218] reheat + diversify: ceiling=12.97, value=11686.0
    [iter 172971] reheat + diversify: ceiling=11.68, value=9160.0
    [iter 178724] reheat + diversify: ceiling=10.51, value=11686.0
    [iter 184477] reheat + diversify: ceiling=9.46, value=12616.0
    [iter 190230] reheat + diversify: ceiling=8.51, value=9160.0
